ticket,symbol,timeframe,direction,entry_price,sl,tp,lot,source,atr,entry_time,exit_time,exit_price,result,pnl,pips
2795780082,XAUUSD,,BUY,4608.487,4577.05224,4649.163,0.01,TraderAI-Bot,0.0,2026-03-19 23:02:04,,,OPEN,,
2795780111,XAUUSD,,BUY,4608.503,4577.05224,4649.163,0.01,TraderAI-Bot,0.0,2026-03-19 23:02:04,,,OPEN,,
2795780129,XAUUSD,,BUY,4608.57,4577.05224,4649.163,0.01,TraderAI-Bot,0.0,2026-03-19 23:02:05,,,OPEN,,
2795780145,XAUUSD,,BUY,4608.57,4577.05224,4649.163,0.01,TraderAI-Bot,0.0,2026-03-19 23:02:05,,,OPEN,,
2795780164,XAUUSD,,BUY,4608.57,4577.05224,4649.163,0.01,TraderAI-Bot,0.0,2026-03-19 23:02:05,,,OPEN,,
2795780183,XAUUSD,,BUY,4608.57,4577.05224,4649.163,0.01,TraderAI-Bot,0.0,2026-03-19 23:02:05,,,OPEN,,
2795780206,XAUUSD,,BUY,4608.65,4577.05224,4649.163,0.01,TraderAI-Bot,0.0,2026-03-19 23:02:05,,,OPEN,,
2795780255,XAUUSD,,BUY,4608.89,4577.05224,4649.163,0.01,TraderAI-Bot,0.0,2026-03-19 23:02:05,,,OPEN,,
2795780303,XAUUSD,,BUY,4609.388,4577.05224,4649.163,0.01,TraderAI-Bot,0.0,2026-03-19 23:02:05,,,OPEN,,
2796027184,XAUUSD,,SELL,4606.89,4631.51053,4566.091,0.01,TraderAI-Bot,0.0,2026-03-19 23:26:38,,,OPEN,,
2796027207,XAUUSD,,SELL,4606.89,4631.51053,4566.091,0.01,TraderAI-Bot,0.0,2026-03-19 23:26:38,,,OPEN,,
2796027224,XAUUSD,,SELL,4606.89,4631.51053,4566.091,0.01,TraderAI-Bot,0.0,2026-03-19 23:26:38,,,OPEN,,
2796027230,XAUUSD,,SELL,4606.89,4631.51053,4566.091,0.01,TraderAI-Bot,0.0,2026-03-19 23:26:38,,,OPEN,,
2796027323,XAUUSD,,SELL,4606.63,4631.51053,4566.091,0.01,TraderAI-Bot,0.0,2026-03-19 23:26:38,,,OPEN,,
2796027389,XAUUSD,,SELL,4606.63,4631.51053,4566.091,0.01,TraderAI-Bot,0.0,2026-03-19 23:26:38,,,OPEN,,
2796027422,XAUUSD,,SELL,4606.63,4631.51053,4566.091,0.01,TraderAI-Bot,0.0,2026-03-19 23:26:38,,,OPEN,,
2796027473,XAUUSD,,SELL,4606.77,4631.51053,4566.091,0.01,TraderAI-Bot,0.0,2026-03-19 23:26:39,,,OPEN,,
2796027497,XAUUSD,,SELL,4606.722,4631.51053,4566.091,0.01,TraderAI-Bot,0.0,2026-03-19 23:26:39,,,OPEN,,
2796027510,XAUUSD,,SELL,4606.625,4631.51053,4566.091,0.01,TraderAI-Bot,0.0,2026-03-19 23:26:39,,,OPEN,,
2796027525,XAUUSD,,SELL,4606.681,4631.51053,4566.091,0.01,TraderAI-Bot,0.0,2026-03-19 23:26:39,,,OPEN,,
2796027538,XAUUSD,,SELL,4606.681,4631.51053,4566.091,0.01,TraderAI-Bot,0.0,2026-03-19 23:26:39,,,OPEN,,
2796027554,XAUUSD,,SELL,4606.681,4631.51053,4566.091,0.01,TraderAI-Bot,0.0,2026-03-19 23:26:39,,,OPEN,,
2796027566,XAUUSD,,SELL,4606.681,4631.51053,4566.091,0.01,TraderAI-Bot,0.0,2026-03-19 23:26:39,,,OPEN,,
2796027589,XAUUSD,,SELL,4606.653,4631.51053,4566.091,0.01,TraderAI-Bot,0.0,2026-03-19 23:26:39,,,OPEN,,
2796519913,XAUUSD,,BUY,4611.384,4589.3432,4638.722,0.01,TraderAI-Bot,0.0,2026-03-20 00:25:36,,,OPEN,,
2796519946,XAUUSD,,BUY,4611.255,4589.3432,4638.722,0.01,TraderAI-Bot,0.0,2026-03-20 00:25:36,,,OPEN,,
2796519958,XAUUSD,,BUY,4611.255,4589.3432,4638.722,0.01,TraderAI-Bot,0.0,2026-03-20 00:25:37,,,OPEN,,
2796519970,XAUUSD,,BUY,4611.255,4589.3432,4638.722,0.01,TraderAI-Bot,0.0,2026-03-20 00:25:37,,,OPEN,,
2796519978,XAUUSD,,BUY,4611.255,4589.3432,4638.722,0.01,TraderAI-Bot,0.0,2026-03-20 00:25:37,,,OPEN,,
2796519989,XAUUSD,,BUY,4611.255,4589.3432,4638.722,0.01,TraderAI-Bot,0.0,2026-03-20 00:25:37,,,OPEN,,
2796520075,XAUUSD,,BUY,4610.948,4589.3432,4638.722,0.01,TraderAI-Bot,0.0,2026-03-20 00:25:37,,,OPEN,,
2796520129,XAUUSD,,BUY,4610.472,4589.3432,4638.722,0.01,TraderAI-Bot,0.0,2026-03-20 00:25:37,,,OPEN,,
2796520163,XAUUSD,,BUY,4610.168,4589.3432,4638.722,0.01,TraderAI-Bot,0.0,2026-03-20 00:25:37,,,OPEN,,
2796520179,XAUUSD,,BUY,4610.168,4589.3432,4638.722,0.01,TraderAI-Bot,0.0,2026-03-20 00:25:38,,,OPEN,,
2796520188,XAUUSD,,BUY,4610.168,4589.3432,4638.722,0.01,TraderAI-Bot,0.0,2026-03-20 00:25:38,,,OPEN,,
2796520204,XAUUSD,,BUY,4610.241,4589.3432,4638.722,0.01,TraderAI-Bot,0.0,2026-03-20 00:25:38,,,OPEN,,
2796520212,XAUUSD,,BUY,4610.241,4589.3432,4638.722,0.01,TraderAI-Bot,0.0,2026-03-20 00:25:38,,,OPEN,,
2796520218,XAUUSD,,BUY,4610.241,4589.3432,4638.722,0.01,TraderAI-Bot,0.0,2026-03-20 00:25:38,,,OPEN,,
2796520225,XAUUSD,,BUY,4610.241,4589.3432,4638.722,0.01,TraderAI-Bot,0.0,2026-03-20 00:25:38,,,OPEN,,
2796725153,XAUUSD,,SELL,4623.072,4642.19742,4593.443,0.01,TraderAI-Bot,0.0,2026-03-20 00:55:38,,,OPEN,,
2796725155,XAUUSD,,SELL,4623.072,4642.19742,4593.443,0.01,TraderAI-Bot,0.0,2026-03-20 00:55:38,,,OPEN,,
2796725170,XAUUSD,,SELL,4623.072,4642.19742,4593.443,0.01,TraderAI-Bot,0.0,2026-03-20 00:55:38,,,OPEN,,
2796725189,XAUUSD,,SELL,4622.904,4642.19742,4593.443,0.01,TraderAI-Bot,0.0,2026-03-20 00:55:38,,,OPEN,,
2796725206,XAUUSD,,SELL,4622.833,4642.19742,4593.443,0.01,TraderAI-Bot,0.0,2026-03-20 00:55:38,,,OPEN,,
2796725213,XAUUSD,,SELL,4622.833,4642.19742,4593.443,0.01,TraderAI-Bot,0.0,2026-03-20 00:55:39,,,OPEN,,
2796725218,XAUUSD,,SELL,4622.833,4642.19742,4593.443,0.01,TraderAI-Bot,0.0,2026-03-20 00:55:39,,,OPEN,,
2796725240,XAUUSD,,SELL,4623.246,4642.19742,4593.443,0.01,TraderAI-Bot,0.0,2026-03-20 00:55:39,,,OPEN,,
2796725246,XAUUSD,,SELL,4623.246,4642.19742,4593.443,0.01,TraderAI-Bot,0.0,2026-03-20 00:55:39,,,OPEN,,
2796725249,XAUUSD,,SELL,4623.246,4642.19742,4593.443,0.01,TraderAI-Bot,0.0,2026-03-20 00:55:39,,,OPEN,,
2796725254,XAUUSD,,SELL,4623.246,4642.19742,4593.443,0.01,TraderAI-Bot,0.0,2026-03-20 00:55:39,,,OPEN,,
2796725258,XAUUSD,,SELL,4623.246,4642.19742,4593.443,0.01,TraderAI-Bot,0.0,2026-03-20 00:55:39,,,OPEN,,
2796725287,XAUUSD,,SELL,4622.934,4642.19742,4593.443,0.01,TraderAI-Bot,0.0,2026-03-20 00:55:40,,,OPEN,,
2796725294,XAUUSD,,SELL,4623.135,4642.19742,4593.443,0.01,TraderAI-Bot,0.0,2026-03-20 00:55:40,,,OPEN,,
2796725304,XAUUSD,,SELL,4623.135,4642.19742,4593.443,0.01,TraderAI-Bot,0.0,2026-03-20 00:55:40,,,OPEN,,
2797011975,XAUUSD,,BUY,4612.118,4596.25689,4629.863,0.01,TraderAI-Bot,0.0,2026-03-20 01:46:35,,,OPEN,,
2797012019,XAUUSD,,BUY,4612.118,4596.25689,4629.863,0.01,TraderAI-Bot,0.0,2026-03-20 01:46:35,,,OPEN,,
2797012096,XAUUSD,,BUY,4612.131,4596.25689,4629.863,0.01,TraderAI-Bot,0.0,2026-03-20 01:46:35,,,OPEN,,
2797012242,XAUUSD,,BUY,4612.48,4596.25689,4629.863,0.01,TraderAI-Bot,0.0,2026-03-20 01:46:35,,,OPEN,,
2797012266,XAUUSD,,BUY,4612.48,4596.25689,4629.863,0.01,TraderAI-Bot,0.0,2026-03-20 01:46:35,,,OPEN,,
2797012286,XAUUSD,,BUY,4612.48,4596.25689,4629.863,0.01,TraderAI-Bot,0.0,2026-03-20 01:46:35,,,OPEN,,
2797012295,XAUUSD,,BUY,4612.48,4596.25689,4629.863,0.01,TraderAI-Bot,0.0,2026-03-20 01:46:36,,,OPEN,,
2797012311,XAUUSD,,BUY,4612.48,4596.25689,4629.863,0.01,TraderAI-Bot,0.0,2026-03-20 01:46:36,,,OPEN,,
2797012324,XAUUSD,,BUY,4612.48,4596.25689,4629.863,0.01,TraderAI-Bot,0.0,2026-03-20 01:46:36,,,OPEN,,
2797012335,XAUUSD,,BUY,4612.48,4596.25689,4629.863,0.01,TraderAI-Bot,0.0,2026-03-20 01:46:36,,,OPEN,,
2797012402,XAUUSD,,BUY,4612.326,4596.25689,4629.863,0.01,TraderAI-Bot,0.0,2026-03-20 01:46:36,,,OPEN,,
2797012418,XAUUSD,,BUY,4612.326,4596.25689,4629.863,0.01,TraderAI-Bot,0.0,2026-03-20 01:46:36,,,OPEN,,
2797012431,XAUUSD,,BUY,4612.326,4596.25689,4629.863,0.01,TraderAI-Bot,0.0,2026-03-20 01:46:37,,,OPEN,,
2797012445,XAUUSD,,BUY,4612.326,4596.25689,4629.863,0.01,TraderAI-Bot,0.0,2026-03-20 01:46:37,,,OPEN,,
2797012451,XAUUSD,,BUY,4612.326,4596.25689,4629.863,0.01,TraderAI-Bot,0.0,2026-03-20 01:46:37,,,OPEN,,
2797066911,XAUUSD,,BUY,4613.079,4598.6051,4638.722,0.01,TraderAI-Bot,0.0,2026-03-20 01:58:46,,,OPEN,,
2797066917,XAUUSD,,BUY,4613.079,4598.6051,4638.722,0.01,TraderAI-Bot,0.0,2026-03-20 01:58:46,,,OPEN,,
2797066928,XAUUSD,,BUY,4613.188,4598.6051,4638.722,0.01,TraderAI-Bot,0.0,2026-03-20 01:58:46,,,OPEN,,
2797066969,XAUUSD,,BUY,4613.188,4598.6051,4638.722,0.01,TraderAI-Bot,0.0,2026-03-20 01:58:46,,,OPEN,,
2797066979,XAUUSD,,BUY,4613.188,4598.6051,4638.722,0.01,TraderAI-Bot,0.0,2026-03-20 01:58:46,,,OPEN,,
2797066984,XAUUSD,,BUY,4613.188,4598.6051,4638.722,0.01,TraderAI-Bot,0.0,2026-03-20 01:58:47,,,OPEN,,
2797066993,XAUUSD,,BUY,4613.188,4598.6051,4638.722,0.01,TraderAI-Bot,0.0,2026-03-20 01:58:47,,,OPEN,,
2797066997,XAUUSD,,BUY,4613.188,4598.6051,4638.722,0.01,TraderAI-Bot,0.0,2026-03-20 01:58:47,,,OPEN,,
2797067024,XAUUSD,,BUY,4613.551,4598.6051,4638.722,0.01,TraderAI-Bot,0.0,2026-03-20 01:58:47,,,OPEN,,
2797067076,XAUUSD,,BUY,4613.623,4598.6051,4638.722,0.01,TraderAI-Bot,0.0,2026-03-20 01:58:47,,,OPEN,,
2797067092,XAUUSD,,BUY,4613.623,4598.6051,4638.722,0.01,TraderAI-Bot,0.0,2026-03-20 01:58:47,,,OPEN,,
2797067117,XAUUSD,,BUY,4613.623,4598.6051,4638.722,0.01,TraderAI-Bot,0.0,2026-03-20 01:58:47,,,OPEN,,
2797067126,XAUUSD,,BUY,4613.623,4598.6051,4638.722,0.01,TraderAI-Bot,0.0,2026-03-20 01:58:48,,,OPEN,,
