time,open,high,low,close,candle,body,wick_up,wick_down,pattern,rsi,ema20,ema50,macd,histogram,adx,atr,signal,score,sl,tp,tick_dir,tick_bull%,ob_bias,ob_imbal,rt_bias,rt_score,spread,logged_at
2026-03-31 08:45:00,4571.525,4574.161,4569.389,4573.244,BULLISH,1.719,0.917,2.136,,62.57,4565.69604,4562.98691,3.17653,1.25755,29.03,5.73506,WAIT,22.11,,,NEUTRAL,46.7,NEUTRAL,0.0,NEUTRAL,-0.05,0.28,2026-03-31 15:49:34
2026-03-31 08:50:00,4571.936,4573.035,4567.776,4570.683,BEARISH,1.253,1.099,2.907,Spinning Top,58.89,4566.06604,4563.24282,3.08333,0.94703,27.7,5.67159,WAIT,19.69,,,NEUTRAL,49.3,NEUTRAL,0.0,NEUTRAL,-0.01,0.308,2026-03-31 15:54:55
2026-03-31 08:55:00,4571.097,4571.431,4567.248,4568.016,BEARISH,3.081,0.334,0.768,,54.29,4566.28708,4563.44546,2.86379,0.57676,25.59,5.47311,WAIT,10.23,,,NEUTRAL,50.0,NEUTRAL,0.0,NEUTRAL,0.0,0.308,2026-03-31 15:59:00
2026-03-31 09:00:00,4568.693,4568.846,4563.075,4566.247,BEARISH,2.446,0.153,3.172,,51.39,4566.33186,4563.57657,2.52715,0.1849,25.87,5.51283,SELL,-2.21,4571.75983,4549.70851,NEUTRAL,52.3,NEUTRAL,0.0,NEUTRAL,0.035,0.308,2026-03-31 16:04:23
2026-03-31 09:05:00,4570.976,4572.215,4566.833,4566.898,BEARISH,4.078,1.239,0.065,Tweezer Top,51.66,4566.79826,4563.88719,2.54612,0.10199,26.11,5.88562,SELL,0.26,4572.78362,4549.24115,NEUTRAL,48.5,NEUTRAL,0.0,NEUTRAL,-0.02,0.308,2026-03-31 16:09:44
2026-03-31 09:10:00,4569.132,4570.541,4567.069,4567.488,BEARISH,1.644,1.409,0.419,,52.35,4567.04852,4564.1091,2.41177,-0.05323,26.33,5.59003,SELL,-2.28,4573.07803,4550.71791,NEUTRAL,49.7,NEUTRAL,0.0,NEUTRAL,-0.005,0.308,2026-03-31 16:15:09
2026-03-31 09:15:00,4567.667,4570.602,4564.055,4564.332,BEARISH,3.335,2.935,0.277,,47.43,4566.78886,4564.11743,1.89271,-0.45768,29.23,5.71763,SELL,3.19,4570.04963,4547.17912,BUY,58.4,NEUTRAL,0.0,NEUTRAL,0.125,0.308,2026-03-31 16:19:09
2026-03-31 09:20:00,4567.201,4569.167,4565.053,4567.432,BULLISH,0.231,1.735,2.148,Doji,52.25,4567.09491,4564.35445,1.88743,-0.40663,31.74,5.50381,WAIT,4.84,,,NEUTRAL,44.9,NEUTRAL,0.0,NEUTRAL,-0.075,0.308,2026-03-31 16:24:38
2026-03-31 09:25:00,4567.409,4567.806,4561.236,4562.007,BEARISH,5.402,0.397,0.771,,43.43,4566.6119,4564.26307,1.25257,-0.83342,36.15,5.64597,SELL,1.01,4567.65297,4545.06909,NEUTRAL,45.1,NEUTRAL,0.0,NEUTRAL,-0.075,0.308,2026-03-31 16:30:00
2026-03-31 09:30:00,4562.124,4562.51,4553.499,4557.061,BEARISH,5.063,0.386,3.562,,37.24,4565.72745,4563.99164,0.36321,-1.38196,41.99,6.09464,SELL,-7.06,4563.15564,4538.77708,NEUTRAL,50.9,NEUTRAL,0.0,NEUTRAL,0.015,0.308,2026-03-31 16:35:16
