time,open,high,low,close,candle,body,wick_up,wick_down,pattern,rsi,ema20,ema50,macd,histogram,adx,atr,signal,score,sl,tp,logged_at
2023-12-13 05:00:00,1993.09998,1994.5,1993.09998,1993.5,BULLISH,0.40002,1.0,0.0,Inverted Hammer,38.28,1996.36667,2003.65552,-2.54482,0.10517,16.2,2.79371,,,,,2023-12-13 05:00:00
2023-12-13 06:00:00,1993.59998,1993.69995,1987.90002,1989.30005,BEARISH,4.29993,0.09998,1.40002,Bearish Engulfing ↓,31.12,1995.69366,2003.09256,-2.81195,-0.12957,22.05,3.19454,,,,,2023-12-13 06:00:00
2023-12-13 07:00:00,1989.19995,1995.40002,1988.30005,1994.09998,BULLISH,4.90002,1.30005,0.8999,Bullish Engulfing ↑,44.02,1995.54188,2002.73991,-2.60629,0.06086,23.56,3.71526,,,,,2023-12-13 07:00:00
2023-12-13 08:00:00,1994.19995,1997.30005,1993.5,1995.19995,BULLISH,1.0,2.1001,0.69995,Spinning Top,46.49,1995.50931,2002.44423,-2.32772,0.27155,24.87,3.72657,,,,,2023-12-13 08:00:00
2023-12-13 09:00:00,1995.30005,1997.80005,1994.5,1997.5,BULLISH,2.19995,0.30005,0.80005,None,51.33,1995.6989,2002.25034,-1.89946,0.55985,26.01,3.6697,,,,,2023-12-13 09:00:00
2023-12-13 10:00:00,1997.5,1998.40002,1996.09998,1998.40002,BULLISH,0.90002,0.0,1.40002,Hammer ↑,53.12,1995.95615,2002.09935,-1.47048,0.79106,26.99,3.48708,,,,,2023-12-13 10:00:00
2023-12-13 11:00:00,1998.30005,1998.80005,1997.40002,1998.09998,BEARISH,0.20007,0.5,0.69995,Spinning Top,52.42,1996.16033,2001.94251,-1.14157,0.89598,27.84,3.2088,,,,,2023-12-13 11:00:00
2023-12-13 12:00:00,1998.09998,1998.19995,1995.90002,1996.5,BEARISH,1.59998,0.09998,0.59998,None,48.78,1996.19268,2001.72908,-0.9985,0.83124,30.64,3.08762,,,,,2023-12-13 12:00:00
2023-12-13 13:00:00,1996.59998,2001.90002,1994.69995,1999.69995,BULLISH,3.09998,2.20007,1.90002,None,55.45,1996.5267,2001.6495,-0.61976,0.96798,27.92,3.63595,,,,,2023-12-13 13:00:00
2023-12-13 14:00:00,1999.59998,2001.40002,1996.30005,1997.0,BEARISH,2.59998,1.80005,0.69995,None,49.58,1996.57178,2001.46717,-0.53134,0.84512,25.56,3.83115,,,,,2023-12-13 14:00:00
