time,direction,entry,tp,sl,result,pnl_pts,pnl_usd,balance,prob,atr,adx
2026-03-19 16:05:00,SELL,4616.69,4608.69,4622.69,WIN,8.0,7.75,3334.0,0.7482,19.684,21.9
2026-03-19 16:10:00,SELL,4604.96,4596.96,4610.96,WIN,8.0,7.75,3341.75,0.7358,19.129,21.0
2026-03-19 17:35:00,SELL,4606.19,4598.19,4612.19,LOSS,-6.0,-6.25,3335.5,0.7109,14.775,21.3
2026-03-19 17:40:00,SELL,4605.19,4597.19,4611.19,LOSS,-6.0,-6.25,3329.25,0.7093,13.837,22.3
2026-03-19 17:45:00,SELL,4610.13,4602.13,4616.13,LOSS,-6.0,-6.25,3323.0,0.7151,13.122,23.8
2026-03-19 17:50:00,SELL,4624.55,4616.55,4630.55,WIN,8.0,7.75,3330.75,0.7443,14.099,27.9
2026-03-19 17:55:00,SELL,4616.1,4608.1,4622.1,WIN,8.0,7.75,3338.5,0.7386,13.639,31.5
2026-03-19 18:00:00,SELL,4610.54,4602.54,4616.54,LOSS,-6.0,-6.25,3332.25,0.7261,13.82,30.2
2026-03-19 18:10:00,SELL,4614.55,4606.55,4620.55,WIN,8.0,7.75,3340.0,0.7342,12.728,27.3
2026-03-19 18:15:00,SELL,4608.74,4600.74,4614.74,WIN,8.0,7.75,3347.75,0.7282,12.422,25.8
2026-03-19 18:25:00,SELL,4609.32,4601.32,4615.32,WIN,8.0,7.75,3355.5,0.7259,11.143,22.3
2026-03-19 19:00:00,SELL,4635.15,4627.15,4641.15,LOSS,-6.0,-6.25,3349.25,0.599,12.402,22.1
2026-03-19 19:10:00,SELL,4656.91,4648.91,4662.91,WIN,8.0,7.75,3357.0,0.6111,15.136,33.3
2026-03-19 19:15:00,SELL,4657.78,4649.78,4663.78,WIN,8.0,7.75,3364.75,0.6164,15.124,37.9
2026-03-19 19:20:00,SELL,4643.99,4635.99,4649.99,WIN,8.0,7.75,3372.5,0.6122,15.162,40.2
2026-03-19 19:25:00,SELL,4644.19,4636.19,4650.19,WIN,8.0,7.75,3380.25,0.6095,14.961,38.3
2026-03-19 19:30:00,SELL,4646.37,4638.37,4652.37,WIN,8.0,7.75,3388.0,0.6152,14.619,37.2
2026-03-19 19:35:00,SELL,4640.71,4632.71,4646.71,WIN,8.0,7.75,3395.75,0.61,14.599,34.6
2026-03-19 19:45:00,SELL,4635.47,4627.47,4641.47,LOSS,-6.0,-6.25,3389.5,0.6174,12.554,29.3
2026-03-19 19:50:00,SELL,4640.44,4632.44,4646.44,LOSS,-6.0,-6.25,3383.25,0.6188,12.251,26.5
2026-03-19 19:55:00,SELL,4644.02,4636.02,4650.02,LOSS,-6.0,-6.25,3377.0,0.6201,12.056,26.5
2026-03-20 09:10:00,SELL,4694.0,4686.0,4700.0,WIN,8.0,7.75,3384.75,0.7128,10.397,34.6
2026-03-20 09:25:00,SELL,4691.71,4683.71,4697.71,WIN,8.0,7.75,3392.5,0.7124,9.238,32.4
2026-03-20 13:05:00,SELL,4664.79,4656.79,4670.79,WIN,8.0,7.75,3400.25,0.6958,10.362,21.4
2026-03-20 13:15:00,SELL,4664.74,4656.74,4670.74,WIN,8.0,7.75,3408.0,0.6935,10.575,26.5
2026-03-20 13:20:00,SELL,4662.37,4654.37,4668.37,WIN,8.0,7.75,3415.75,0.655,10.383,26.0
2026-03-20 13:25:00,SELL,4659.97,4651.97,4665.97,WIN,8.0,7.75,3423.5,0.6358,9.808,26.2
2026-03-20 13:35:00,SELL,4654.34,4646.34,4660.34,LOSS,-6.0,-6.25,3417.25,0.6258,13.381,33.5
2026-03-20 13:40:00,SELL,4662.47,4654.47,4668.47,WIN,8.0,7.75,3425.0,0.6663,14.077,34.4
2026-03-20 13:45:00,SELL,4651.8,4643.8,4657.8,WIN,8.0,7.75,3432.75,0.629,14.146,35.2
2026-03-20 18:25:00,SELL,4554.48,4546.48,4560.48,WIN,8.0,7.75,3440.5,0.6224,13.114,28.3
2026-03-23 07:45:00,SELL,4214.72,4206.72,4220.72,WIN,8.0,7.75,3448.25,0.6509,37.176,45.0
2026-03-23 07:50:00,SELL,4198.29,4190.29,4204.29,WIN,8.0,7.75,3456.0,0.6517,36.649,39.4
2026-03-23 07:55:00,SELL,4204.1,4196.1,4210.1,LOSS,-6.0,-6.25,3449.75,0.666,34.274,34.3
2026-03-23 08:00:00,SELL,4219.76,4211.76,4225.76,LOSS,-6.0,-6.25,3443.5,0.5777,33.161,32.3
2026-03-23 08:10:00,SELL,4253.11,4245.11,4259.11,WIN,8.0,7.75,3451.25,0.5935,32.346,32.3
2026-03-23 08:25:00,SELL,4226.69,4218.69,4232.69,LOSS,-6.0,-6.25,3445.0,0.583,30.474,29.2
2026-03-23 08:30:00,SELL,4262.98,4254.98,4268.98,WIN,8.0,7.75,3452.75,0.6506,31.959,31.3
2026-03-23 08:35:00,SELL,4238.12,4230.12,4244.12,LOSS,-6.0,-6.25,3446.5,0.6247,32.571,33.7
2026-03-23 08:45:00,SELL,4241.75,4233.75,4247.75,WIN,8.0,7.75,3454.25,0.6501,30.83,38.3
2026-03-23 08:55:00,SELL,4250.9,4242.9,4256.9,LOSS,-6.0,-6.25,3448.0,0.6512,29.493,36.2
2026-03-23 09:00:00,SELL,4253.44,4245.44,4259.44,LOSS,-6.0,-6.25,3441.75,0.6656,27.451,36.1
2026-03-23 09:05:00,SELL,4254.1,4246.1,4260.1,LOSS,-6.0,-6.25,3435.5,0.672,24.78,35.9
2026-03-23 09:10:00,SELL,4268.74,4260.74,4274.74,LOSS,-6.0,-6.25,3429.25,0.6968,23.682,37.1
2026-03-23 09:15:00,SELL,4288.69,4280.69,4294.69,LOSS,-6.0,-6.25,3423.0,0.7397,23.743,39.9
2026-03-23 09:20:00,SELL,4288.87,4280.87,4294.87,LOSS,-6.0,-6.25,3416.75,0.7458,23.004,43.0
2026-03-23 09:25:00,SELL,4303.96,4295.96,4309.96,WIN,8.0,7.75,3424.5,0.7564,22.084,45.8
2026-03-23 09:30:00,SELL,4282.23,4274.23,4288.23,WIN,8.0,7.75,3432.25,0.7482,22.891,46.4
2026-03-23 09:40:00,SELL,4225.68,4217.68,4231.68,LOSS,-6.0,-6.25,3426.0,0.6838,25.732,37.6
2026-03-23 09:45:00,SELL,4237.49,4229.49,4243.49,LOSS,-6.0,-6.25,3419.75,0.6932,25.292,35.1
2026-03-23 09:50:00,SELL,4239.02,4231.02,4245.02,LOSS,-6.0,-6.25,3413.5,0.6923,23.682,32.3
2026-03-23 10:00:00,SELL,4256.85,4248.85,4262.85,LOSS,-6.0,-6.25,3407.25,0.7012,22.495,25.0
2026-03-23 10:05:00,SELL,4261.57,4253.57,4267.57,LOSS,-6.0,-6.25,3401.0,0.7373,20.959,22.6
2026-03-23 10:10:00,SELL,4263.6,4255.6,4269.6,LOSS,-6.0,-6.25,3394.75,0.7407,20.533,22.0
2026-03-23 10:15:00,SELL,4269.36,4261.36,4275.36,WIN,8.0,7.75,3402.5,0.7533,19.529,21.9
2026-03-23 10:20:00,SELL,4273.2,4265.2,4279.2,WIN,8.0,7.75,3410.25,0.7487,19.412,20.2
2026-03-23 10:45:00,SELL,4261.15,4253.15,4267.15,LOSS,-6.0,-6.25,3404.0,0.7471,17.37,21.9
2026-03-23 10:50:00,SELL,4262.64,4254.64,4268.64,WIN,8.0,7.75,3411.75,0.7585,17.997,20.6
2026-03-23 11:10:00,SELL,4456.44,4448.44,4462.44,WIN,8.0,7.75,3419.5,0.5766,39.791,34.2
2026-03-23 11:25:00,SELL,4399.47,4391.47,4405.47,WIN,8.0,7.75,3427.25,0.5793,44.281,39.9
2026-03-23 11:40:00,SELL,4412.46,4404.46,4418.46,WIN,8.0,7.75,3435.0,0.6109,40.901,42.7
2026-03-23 11:50:00,SELL,4403.67,4395.67,4409.67,WIN,8.0,7.75,3442.75,0.5962,40.564,40.5
2026-03-23 11:55:00,SELL,4379.12,4371.12,4385.12,WIN,8.0,7.75,3450.5,0.5933,40.801,37.1
2026-03-23 12:55:00,SELL,4478.29,4470.29,4484.29,WIN,8.0,7.75,3458.25,0.5711,30.294,36.2
2026-03-23 13:00:00,SELL,4453.46,4445.46,4459.46,WIN,8.0,7.75,3466.0,0.5974,32.546,35.2
2026-03-23 13:05:00,SELL,4446.88,4438.88,4452.88,LOSS,-6.0,-6.25,3459.75,0.5953,31.531,33.3
2026-03-23 13:10:00,SELL,4446.45,4438.45,4452.45,WIN,8.0,7.75,3467.5,0.5918,30.014,32.0
2026-03-23 13:50:00,SELL,4450.98,4442.98,4456.98,WIN,8.0,7.75,3475.25,0.5786,27.038,20.2
2026-03-23 13:55:00,SELL,4454.29,4446.29,4460.29,LOSS,-6.0,-6.25,3469.0,0.5883,25.695,21.0
2026-03-23 14:00:00,SELL,4464.14,4456.14,4470.14,WIN,8.0,7.75,3476.75,0.5907,25.623,24.2
2026-03-23 14:10:00,SELL,4464.36,4456.36,4470.36,LOSS,-6.0,-6.25,3470.5,0.5888,23.617,29.3
2026-03-23 14:15:00,SELL,4490.15,4482.15,4496.15,WIN,8.0,7.75,3478.25,0.5846,25.113,33.4
2026-03-23 14:35:00,SELL,4481.03,4473.03,4487.03,WIN,8.0,7.75,3486.0,0.599,25.859,41.7
2026-03-23 14:40:00,SELL,4479.39,4471.39,4485.39,WIN,8.0,7.75,3493.75,0.5925,24.687,40.2
2026-03-23 14:45:00,SELL,4479.2,4471.2,4485.2,WIN,8.0,7.75,3501.5,0.5931,23.791,38.3
2026-03-23 15:00:00,SELL,4469.63,4461.63,4475.63,LOSS,-6.0,-6.25,3495.25,0.7092,22.595,26.6
2026-03-23 15:05:00,SELL,4485.61,4477.61,4491.61,WIN,8.0,7.75,3503.0,0.7294,21.912,24.4
2026-03-23 15:10:00,SELL,4465.19,4457.19,4471.19,WIN,8.0,7.75,3510.75,0.7254,22.197,21.8
2026-03-23 15:20:00,SELL,4456.28,4448.28,4462.28,WIN,8.0,7.75,3518.5,0.7176,25.242,27.2
2026-03-23 15:30:00,SELL,4433.52,4425.52,4439.52,WIN,8.0,7.75,3526.25,0.7157,24.332,32.3
2026-03-23 15:35:00,SELL,4420.17,4412.17,4426.17,WIN,8.0,7.75,3534.0,0.7029,23.468,36.2
2026-03-23 15:40:00,SELL,4407.72,4399.72,4413.72,WIN,8.0,7.75,3541.75,0.6851,22.668,40.4
2026-03-23 15:45:00,SELL,4402.42,4394.42,4408.42,WIN,8.0,7.75,3549.5,0.6525,22.162,44.6
2026-03-23 18:55:00,SELL,4449.0,4441.0,4455.0,WIN,8.0,7.75,3557.25,0.5865,14.536,27.9
2026-03-23 19:00:00,SELL,4436.5,4428.5,4442.5,WIN,8.0,7.75,3565.0,0.6234,14.596,24.4
2026-03-23 19:05:00,SELL,4437.39,4429.39,4443.39,WIN,8.0,7.75,3572.75,0.6242,14.071,22.8
2026-03-23 19:10:00,SELL,4406.89,4398.89,4412.89,WIN,8.0,7.75,3580.5,0.592,16.886,25.5
2026-03-23 19:15:00,SELL,4404.69,4396.69,4410.69,WIN,8.0,7.75,3588.25,0.5758,16.607,28.5
2026-03-23 19:25:00,SELL,4410.28,4402.28,4416.28,WIN,8.0,7.75,3596.0,0.5834,15.928,31.1
2026-03-23 19:40:00,SELL,4416.59,4408.59,4422.59,LOSS,-6.0,-6.25,3589.75,0.5966,14.571,29.6
2026-03-23 19:45:00,SELL,4418.61,4410.61,4424.61,WIN,8.0,7.75,3597.5,0.5947,14.292,25.7
2026-03-23 19:50:00,SELL,4408.94,4400.94,4414.94,WIN,8.0,7.75,3605.25,0.5854,14.467,24.9
2026-03-24 07:05:00,SELL,4415.46,4407.46,4421.46,LOSS,-6.0,-6.25,3599.0,0.6018,14.666,44.6
2026-03-24 07:10:00,SELL,4424.41,4416.41,4430.41,WIN,8.0,7.75,3606.75,0.6152,14.124,48.2
2026-03-24 07:15:00,SELL,4422.52,4414.52,4428.52,WIN,8.0,7.75,3614.5,0.6166,13.005,51.4
2026-03-24 07:20:00,SELL,4412.25,4404.25,4418.25,WIN,8.0,7.75,3622.25,0.6196,13.401,49.2
2026-03-24 07:25:00,SELL,4412.5,4404.5,4418.5,WIN,8.0,7.75,3630.0,0.6242,13.019,46.3
2026-03-24 07:30:00,SELL,4409.68,4401.68,4415.68,WIN,8.0,7.75,3637.75,0.6166,12.725,42.4
2026-03-24 07:35:00,SELL,4408.77,4400.77,4414.77,WIN,8.0,7.75,3645.5,0.6137,12.471,38.6
2026-03-24 07:40:00,SELL,4408.7,4400.7,4414.7,LOSS,-6.0,-6.25,3639.25,0.6065,12.331,34.9
2026-03-24 07:45:00,SELL,4422.32,4414.32,4428.32,LOSS,-6.0,-6.25,3633.0,0.6036,13.845,35.3
2026-03-24 07:50:00,SELL,4421.05,4413.05,4427.05,WIN,8.0,7.75,3640.75,0.608,13.726,37.0
2026-03-24 07:55:00,SELL,4417.08,4409.08,4423.08,WIN,8.0,7.75,3648.5,0.6082,13.296,36.5
2026-03-24 08:00:00,SELL,4407.16,4399.16,4413.16,LOSS,-6.0,-6.25,3642.25,0.5956,13.539,31.6
2026-03-24 08:05:00,SELL,4412.33,4404.33,4418.33,LOSS,-6.0,-6.25,3636.0,0.5984,13.335,27.7
2026-03-24 08:10:00,SELL,4414.31,4406.31,4420.31,WIN,8.0,7.75,3643.75,0.5976,13.044,25.1
2026-03-24 08:15:00,SELL,4404.83,4396.83,4410.83,WIN,8.0,7.75,3651.5,0.5738,13.364,23.2
2026-03-24 10:00:00,SELL,4421.99,4413.99,4427.99,LOSS,-6.0,-6.25,3645.25,0.593,10.08,21.1
2026-03-24 10:05:00,SELL,4427.76,4419.76,4433.76,WIN,8.0,7.75,3653.0,0.5939,10.219,23.2
2026-03-24 10:15:00,SELL,4429.49,4421.49,4435.49,WIN,8.0,7.75,3660.75,0.5879,9.565,28.5
2026-03-24 10:20:00,SELL,4426.18,4418.18,4432.18,WIN,8.0,7.75,3668.5,0.5868,9.318,29.7
2026-03-24 10:35:00,SELL,4424.03,4416.03,4430.03,LOSS,-6.0,-6.25,3662.25,0.5732,8.987,22.9
