<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.11.13	18:45:00	4155.850	4161.932	4150.099	4158.006	9329	0	160
2025.11.13	19:00:00	4157.926	4157.926	4145.838	4153.923	8455	0	160
2025.11.13	19:15:00	4153.897	4161.132	4150.638	4159.814	7014	0	160
2025.11.13	19:30:00	4159.856	4169.806	4158.062	4169.806	6380	0	160
2025.11.13	19:45:00	4169.830	4170.593	4162.165	4163.828	5575	0	160
2025.11.13	20:00:00	4163.872	4167.158	4160.284	4165.184	5781	0	160
2025.11.13	20:15:00	4165.235	4170.553	4160.813	4169.153	5612	0	160
2025.11.13	20:30:00	4169.163	4170.649	4163.475	4164.689	4363	0	160
2025.11.13	20:45:00	4164.651	4167.198	4160.821	4163.946	5308	0	160
2025.11.13	21:00:00	4163.972	4181.388	4161.050	4178.522	4227	0	160
2025.11.13	21:15:00	4178.548	4178.632	4172.847	4174.140	2001	0	160
2025.11.13	21:30:00	4174.117	4175.981	4169.373	4173.014	2220	0	160
2025.11.13	21:45:00	4173.005	4173.744	4171.022	4171.534	1473	0	160
2025.11.13	23:00:00	4170.270	4181.626	4170.228	4176.452	3497	0	160
2025.11.13	23:15:00	4176.510	4184.841	4175.835	4179.120	2995	0	160
2025.11.13	23:30:00	4179.170	4181.873	4176.895	4179.333	2714	0	160
2025.11.13	23:45:00	4179.323	4186.674	4178.764	4185.865	3206	0	160
2025.11.14	00:00:00	4185.908	4186.605	4179.174	4185.706	3342	0	160
2025.11.14	00:15:00	4185.665	4189.962	4182.589	4188.292	2843	0	160
2025.11.14	00:30:00	4188.331	4189.789	4185.488	4186.858	3075	0	160
2025.11.14	00:45:00	4186.893	4187.406	4178.207	4183.819	4079	0	160
2025.11.14	01:00:00	4183.793	4189.164	4179.010	4183.061	6861	0	160
2025.11.14	01:15:00	4183.089	4186.699	4174.248	4174.644	6439	0	160
2025.11.14	01:30:00	4174.693	4183.748	4173.688	4180.122	5275	0	160
2025.11.14	01:45:00	4180.113	4193.815	4180.113	4190.038	5231	0	160
2025.11.14	02:00:00	4190.153	4194.606	4188.551	4194.034	4024	0	160
